ID,yrbirth,social_immigrant_status,male_bl,female_bl,male_bd,female_bd,bl,sex,yrbirth_centre
NN86758,1985,local,NA,13.4,NA,4.5,13.4,Female,-9.012856569
NN86759,1985,local,13.3,NA,4.45,NA,13.3,Male,-9.012856569
NN86773,1985,local,13.8,NA,4.7,NA,13.8,Male,-9.012856569
NN86783,1985,local,13.2,NA,4.6,NA,13.2,Male,-9.012856569
NN86817,1985,local,NA,13.3,NA,4.3,13.3,Female,-9.012856569
NN86818,1985,local,NA,13.25,NA,4.4,13.25,Female,-9.012856569
NN86854,1985,local,NA,13.6,NA,4.5,13.6,Female,-9.012856569
NN86902,1985,local,NA,13.5,NA,4.4,13.5,Female,-9.012856569
NN86909,1985,local,NA,13.5,NA,4.3,13.5,Female,-9.012856569
NN86925,1985,local,13.2,NA,4.5,NA,13.2,Male,-9.012856569
NN86931,1985,local,13.6,NA,4.6,NA,13.6,Male,-9.012856569
NN86981,1985,local,13.65,NA,4.7,NA,13.65,Male,-9.012856569
NN86996,1985,local,NA,13.45,NA,4.2,13.45,Female,-9.012856569
NN87634,1985,local,13.5,NA,4.65,NA,13.5,Male,-9.012856569
NN87756,1985,local,NA,13.5,NA,4.4,13.5,Female,-9.012856569
NN87761,1985,local,NA,14.05,NA,4.6,14.05,Female,-9.012856569
NN87764,1985,local,NA,14.25,NA,4.5,14.25,Female,-9.012856569
NN87788,1985,local,13.2,NA,4.6,NA,13.2,Male,-9.012856569
NN87817,1985,local,NA,13.35,NA,4.5,13.35,Female,-9.012856569
NN87826,1985,local,13.7,NA,4.55,NA,13.7,Male,-9.012856569
NN88095,1985,local,NA,13.65,NA,4.35,13.65,Female,-9.012856569
NN88199,1985,local,NA,13.6,NA,4.5,13.6,Female,-9.012856569
NN88256,1985,local,NA,13.35,NA,4.4,13.35,Female,-9.012856569
NN88310,1985,local,NA,13.2,NA,4.7,13.2,Female,-9.012856569
NN88331,1985,local,NA,13.65,NA,4.5,13.65,Female,-9.012856569
NN88411,1985,local,NA,13.4,NA,4.6,13.4,Female,-9.012856569
NN88416,1985,local,14,NA,4.75,NA,14,Male,-9.012856569
NN88422,1985,local,NA,13.7,NA,4.45,13.7,Female,-9.012856569
C375756,1986,immigrant,12.9,NA,4.5,NA,12.9,Male,-8.012856569
C375783,1986,immigrant,13.8,NA,4.8,NA,13.8,Male,-8.012856569
C695695,1986,immigrant,12.8,NA,4.45,NA,12.8,Male,-8.012856569
C695701,1986,immigrant,NA,13.4,NA,4.2,13.4,Female,-8.012856569
E029537,1986,immigrant,12.95,NA,4.5,NA,12.95,Male,-8.012856569
E066206,1986,immigrant,NA,13.3,NA,4.3,13.3,Female,-8.012856569
E066210,1986,immigrant,12.8,NA,4.8,NA,12.8,Male,-8.012856569
E066314,1986,immigrant,NA,13.4,NA,4.35,13.4,Female,-8.012856569
E066315,1986,immigrant,13.1,NA,4.6,NA,13.1,Male,-8.012856569
E066317,1986,immigrant,13.1,NA,4.7,NA,13.1,Male,-8.012856569
E066318,1986,immigrant,13.3,NA,4.5,NA,13.3,Male,-8.012856569
E066319,1986,immigrant,13.2,NA,4.4,NA,13.2,Male,-8.012856569
E066320,1986,immigrant,NA,14.3,NA,4.6,14.3,Female,-8.012856569
E066321,1986,immigrant,NA,13,NA,4.4,13,Female,-8.012856569
E066322,1986,immigrant,13.1,NA,4.5,NA,13.1,Male,-8.012856569
E066324,1986,immigrant,NA,13.8,NA,4.3,13.8,Female,-8.012856569
E066325,1986,immigrant,NA,14,NA,4.4,14,Female,-8.012856569
E066326,1986,immigrant,NA,13.75,NA,4.3,13.75,Female,-8.012856569
E066327,1986,immigrant,13.2,NA,4.8,NA,13.2,Male,-8.012856569
E066328,1986,immigrant,12.9,NA,4.6,NA,12.9,Male,-8.012856569
E066329,1986,immigrant,NA,14.55,NA,4.3,14.55,Female,-8.012856569
E066330,1986,immigrant,13,NA,4.7,NA,13,Male,-8.012856569
E067701,1986,immigrant,NA,12.7,NA,4.35,12.7,Female,-8.012856569
NE93650,1986,local,13,NA,4.45,NA,13,Male,-8.012856569
NN34650,1986,local,NA,14.05,NA,4.3,14.05,Female,-8.012856569
NN35518,1986,local,13.1,NA,4.6,NA,13.1,Male,-8.012856569
NN35524,1986,local,NA,13,NA,4.2,13,Female,-8.012856569
NN35619,1986,local,NA,12.9,NA,4.1,12.9,Female,-8.012856569
NN35651,1986,local,12.9,NA,4.45,NA,12.9,Male,-8.012856569
NN35675,1986,local,14.1,NA,4.9,NA,14.1,Male,-8.012856569
NN35709,1986,local,NA,13.5,NA,4.5,13.5,Female,-8.012856569
NN35755,1986,local,NA,13,NA,4.4,13,Female,-8.012856569
NN35770,1986,local,12.9,NA,4.55,NA,12.9,Male,-8.012856569
NN35778,1986,local,NA,14.05,NA,4.6,14.05,Female,-8.012856569
NN35891,1986,local,NA,13.9,NA,4.3,13.9,Female,-8.012856569
NN86422,1986,local,NA,13.3,NA,4.35,13.3,Female,-8.012856569
NN86497,1986,local,NA,13.35,NA,4.4,13.35,Female,-8.012856569
NN86685,1986,local,13.9,NA,4.6,NA,13.9,Male,-8.012856569
NN87390,1986,local,13.2,NA,4.45,NA,13.2,Male,-8.012856569
NN87943,1986,local,NA,13.2,NA,4.55,13.2,Female,-8.012856569
NN87944,1986,local,NA,13.3,NA,4.55,13.3,Female,-8.012856569
NN87945,1986,local,NA,13.2,NA,4.35,13.2,Female,-8.012856569
VB54005,1986,local,13.7,NA,4.5,NA,13.7,Male,-8.012856569
VB54007,1986,local,13.4,NA,4.5,NA,13.4,Male,-8.012856569
VB54018,1986,local,NA,13.8,NA,4.5,13.8,Female,-8.012856569
VB54035,1986,local,13.3,NA,4.4,NA,13.3,Male,-8.012856569
VB54048,1986,local,13.35,NA,4.45,NA,13.35,Male,-8.012856569
VB54060,1986,local,NA,13.2,NA,4.5,13.2,Female,-8.012856569
VB54068,1986,local,NA,14.2,NA,4.3,14.2,Female,-8.012856569
VB54074,1986,local,13.65,NA,4.65,NA,13.65,Male,-8.012856569
VB54076,1986,local,NA,13,NA,4.4,13,Female,-8.012856569
VB54083,1986,local,13.2,NA,4.5,NA,13.2,Male,-8.012856569
VB54093,1986,local,NA,14,NA,4.15,14,Female,-8.012856569
VB54096,1986,local,NA,13.9,NA,4.2,13.9,Female,-8.012856569
VB54118,1986,local,12.8,NA,4.15,NA,12.8,Male,-8.012856569
VB54122,1986,local,NA,13.25,NA,4.25,13.25,Female,-8.012856569
VB54141,1986,local,13.3,NA,4.6,NA,13.3,Male,-8.012856569
VB54142,1986,local,NA,13.9,NA,4.45,13.9,Female,-8.012856569
VB54182,1986,local,13.8,NA,4.7,NA,13.8,Male,-8.012856569
VB54184,1986,local,NA,14,NA,4.5,14,Female,-8.012856569
VB54185,1986,local,NA,13.2,NA,4.55,13.2,Female,-8.012856569
VB54186,1986,local,NA,12.9,NA,4.45,12.9,Female,-8.012856569
VB54262,1986,local,13,NA,4.45,NA,13,Male,-8.012856569
VB54316,1986,local,NA,13.45,NA,4.4,13.45,Female,-8.012856569
VB54332,1986,local,13.3,NA,4.7,NA,13.3,Male,-8.012856569
VB54341,1986,local,12.9,NA,4.5,NA,12.9,Male,-8.012856569
VB54389,1986,local,12.4,NA,4.3,NA,12.4,Male,-8.012856569
VB54439,1986,local,NA,14.8,NA,4.4,14.8,Female,-8.012856569
VB54444,1986,local,13.95,NA,4.6,NA,13.95,Male,-8.012856569
VB54447,1986,local,14.3,NA,4.5,NA,14.3,Male,-8.012856569
VB54448,1986,local,13.5,NA,4.6,NA,13.5,Male,-8.012856569
VB54463,1986,local,NA,12.8,NA,4.1,12.8,Female,-8.012856569
VB54494,1986,local,13.5,NA,4.65,NA,13.5,Male,-8.012856569
VB54508,1986,local,NA,14.3,NA,4.45,14.3,Female,-8.012856569
VB54542,1986,local,13.2,NA,4.5,NA,13.2,Male,-8.012856569
VB54909,1986,local,13.45,NA,4.75,NA,13.45,Male,-8.012856569
VB54910,1986,local,NA,12.7,NA,4.35,12.7,Female,-8.012856569
A723150,1987,immigrant,NA,13.2,NA,4.2,13.2,Female,-7.012856569
C716895,1987,immigrant,NA,13.2,NA,4.45,13.2,Female,-7.012856569
C716898,1987,immigrant,NA,13.9,NA,4.4,13.9,Female,-7.012856569
E587169,1987,immigrant,13.9,NA,4.5,NA,13.9,Male,-7.012856569
E587202,1987,immigrant,13.95,NA,4.75,NA,13.95,Male,-7.012856569
E587208,1987,immigrant,NA,13.2,NA,4.4,13.2,Female,-7.012856569
E587250,1987,immigrant,13.7,NA,4.5,NA,13.7,Male,-7.012856569
E587270,1987,immigrant,13.35,NA,4.7,NA,13.35,Male,-7.012856569
E587271,1987,immigrant,NA,13.8,NA,4.5,13.8,Female,-7.012856569
E587298,1987,immigrant,NA,14,NA,4.3,14,Female,-7.012856569
E587300,1987,immigrant,NA,13.6,NA,4.3,13.6,Female,-7.012856569
E956074,1987,immigrant,13.5,NA,4.8,NA,13.5,Male,-7.012856569
E956075,1987,immigrant,13.7,NA,4.7,NA,13.7,Male,-7.012856569
E956108,1987,immigrant,14.1,NA,4.9,NA,14.1,Male,-7.012856569
E956214,1987,immigrant,NA,14.3,NA,4.5,14.3,Female,-7.012856569
E956215,1987,immigrant,NA,13.75,NA,4.55,13.75,Female,-7.012856569
E956216,1987,immigrant,NA,14.3,NA,4.5,14.3,Female,-7.012856569
E956217,1987,immigrant,13.8,NA,4.6,NA,13.8,Male,-7.012856569
E956247,1987,immigrant,NA,13.65,NA,4.25,13.65,Female,-7.012856569
E956248,1987,immigrant,NA,14.05,NA,4.35,14.05,Female,-7.012856569
E956250,1987,immigrant,13.6,NA,4.4,NA,13.6,Male,-7.012856569
E956267,1987,immigrant,13.2,NA,4.8,NA,13.2,Male,-7.012856569
E956277,1987,immigrant,13.3,NA,4.75,NA,13.3,Male,-7.012856569
E956281,1987,immigrant,NA,13.3,NA,4.7,13.3,Female,-7.012856569
E956282,1987,immigrant,13.3,NA,4.6,NA,13.3,Male,-7.012856569
E956283,1987,immigrant,NA,12.9,NA,4.5,12.9,Female,-7.012856569
E956292,1987,immigrant,13.4,NA,4.6,NA,13.4,Male,-7.012856569
E956302,1987,immigrant,NA,13.9,NA,4.6,13.9,Female,-7.012856569
E956327,1987,immigrant,13.9,NA,4.6,NA,13.9,Male,-7.012856569
E956329,1987,immigrant,NA,13.8,NA,4.5,13.8,Female,-7.012856569
E956346,1987,immigrant,NA,13.6,NA,4.5,13.6,Female,-7.012856569
E956347,1987,immigrant,NA,13.35,NA,4.25,13.35,Female,-7.012856569
E956350,1987,immigrant,NA,13.8,NA,4.35,13.8,Female,-7.012856569
E956351,1987,immigrant,NA,12.95,NA,4.35,12.95,Female,-7.012856569
E956352,1987,immigrant,13.2,NA,4.6,NA,13.2,Male,-7.012856569
NN86723,1987,local,13.6,NA,4.6,NA,13.6,Male,-7.012856569
NN86750,1987,local,NA,14.6,NA,4.35,14.6,Female,-7.012856569
NN87852,1987,local,12.6,NA,4.6,NA,12.6,Male,-7.012856569
NN87862,1987,local,NA,13.5,NA,4.75,13.5,Female,-7.012856569
NN87867,1987,local,NA,13.3,NA,4.7,13.3,Female,-7.012856569
NN87891,1987,local,13.8,NA,4.8,NA,13.8,Male,-7.012856569
NN87895,1987,local,13.3,NA,4.55,NA,13.3,Male,-7.012856569
NN87896,1987,local,NA,13.6,NA,4.5,13.6,Female,-7.012856569
NN88452,1987,local,NA,14.2,NA,4.5,14.2,Female,-7.012856569
NN88514,1987,local,13.8,NA,4.6,NA,13.8,Male,-7.012856569
NN88529,1987,local,NA,14.4,NA,4.5,14.4,Female,-7.012856569
NN88530,1987,local,NA,14.5,NA,4.5,14.5,Female,-7.012856569
NN88562,1987,local,13.8,NA,4.75,NA,13.8,Male,-7.012856569
NN88580,1987,local,NA,13.2,NA,4.4,13.2,Female,-7.012856569
NN88664,1987,local,13.4,NA,4.8,NA,13.4,Male,-7.012856569
NN88667,1987,local,NA,13.85,NA,4.6,13.85,Female,-7.012856569
NN88690,1987,local,14.05,NA,4.85,NA,14.05,Male,-7.012856569
NN88703,1987,local,NA,13,NA,4.4,13,Female,-7.012856569
NN88711,1987,local,13.9,NA,4.65,NA,13.9,Male,-7.012856569
NN88713,1987,local,NA,13.7,NA,4.3,13.7,Female,-7.012856569
NN88716,1987,local,13.4,NA,4.6,NA,13.4,Male,-7.012856569
NN88720,1987,local,NA,13.4,NA,4.2,13.4,Female,-7.012856569
NN88724,1987,local,13.4,NA,4.5,NA,13.4,Male,-7.012856569
NN88726,1987,local,NA,13,NA,4.4,13,Female,-7.012856569
NN88737,1987,local,13.5,NA,4.7,NA,13.5,Male,-7.012856569
NN88750,1987,local,13.45,NA,4.6,NA,13.45,Male,-7.012856569
NN88885,1987,local,13.05,NA,4.65,NA,13.05,Male,-7.012856569
NN88895,1987,local,13.775,NA,4.8,NA,13.775,Male,-7.012856569
NN88899,1987,local,13.6,NA,4.6,NA,13.6,Male,-7.012856569
NN88904,1987,local,13.45,NA,4.6,NA,13.45,Male,-7.012856569
NN88912,1987,local,NA,13.95,NA,4.55,13.95,Female,-7.012856569
NN88916,1987,local,14.4,NA,4.55,NA,14.4,Male,-7.012856569
NN88924,1987,local,NA,14.7,NA,4.55,14.7,Female,-7.012856569
NN88952,1987,local,NA,13.1,NA,4.4,13.1,Female,-7.012856569
NN88953,1987,local,12.5,NA,4.5,NA,12.5,Male,-7.012856569
NN88962,1987,local,NA,13.75,NA,4.45,13.75,Female,-7.012856569
NN88967,1987,local,NA,13.9,NA,4.1,13.9,Female,-7.012856569
NN88977,1987,local,NA,13.2,NA,4.4,13.2,Female,-7.012856569
NN88979,1987,local,13.35,NA,4.65,NA,13.35,Male,-7.012856569
VB54567,1987,local,NA,14.15,NA,4.35,14.15,Female,-7.012856569
VB54579,1987,local,13.5,NA,4.65,NA,13.5,Male,-7.012856569
VB54592,1987,local,14.6,NA,4.65,NA,14.6,Male,-7.012856569
VB54600,1987,local,NA,13.1,NA,4.5,13.1,Female,-7.012856569
VB54649,1987,local,NA,13.75,NA,4.6,13.75,Female,-7.012856569
VB54668,1987,local,14,NA,4.65,NA,14,Male,-7.012856569
VB54676,1987,local,13.1,NA,4.4,NA,13.1,Male,-7.012856569
VB54697,1987,local,13.2,NA,4.5,NA,13.2,Male,-7.012856569
VB54715,1987,local,13.3,NA,4.7,NA,13.3,Male,-7.012856569
VB54734,1987,local,NA,14.1,NA,4.2,14.1,Female,-7.012856569
VB54792,1987,local,NA,13.2,NA,4.5,13.2,Female,-7.012856569
VB54815,1987,local,NA,14.15,NA,4.55,14.15,Female,-7.012856569
VB54865,1987,local,13.85,NA,4.45,NA,13.85,Male,-7.012856569
VB54869,1987,local,13.9,NA,4.6,NA,13.9,Male,-7.012856569
VB54882,1987,local,13.7,NA,4.45,NA,13.7,Male,-7.012856569
VB55014,1987,local,13.3,NA,4.7,NA,13.3,Male,-7.012856569
VB55016,1987,local,13,NA,4.8,NA,13,Male,-7.012856569
VB55018,1987,local,13.2,NA,4.65,NA,13.2,Male,-7.012856569
VB55041,1987,local,NA,13.3,NA,4.35,13.3,Female,-7.012856569
VB55045,1987,local,12.95,NA,4.8,NA,12.95,Male,-7.012856569
VB55053,1987,local,13.4,NA,4.7,NA,13.4,Male,-7.012856569
VB55076,1987,local,14,NA,4.65,NA,14,Male,-7.012856569
VB55079,1987,local,NA,13.6,NA,4.4,13.6,Female,-7.012856569
VB55081,1987,local,14.15,NA,4.6,NA,14.15,Male,-7.012856569
VB55136,1987,local,NA,13.3,NA,4.5,13.3,Female,-7.012856569
VB55172,1987,local,NA,13.95,NA,4.45,13.95,Female,-7.012856569
VB55241,1987,local,13.4,NA,4.6,NA,13.4,Male,-7.012856569
VB55254,1987,local,NA,14.05,NA,4.65,14.05,Female,-7.012856569
VB55287,1987,local,NA,14.05,NA,4.5,14.05,Female,-7.012856569
VB55371,1987,local,NA,13.3,NA,4.75,13.3,Female,-7.012856569
VB55376,1987,local,NA,13.45,NA,4.5,13.45,Female,-7.012856569
VB55428,1987,local,NA,13.95,NA,4.5,13.95,Female,-7.012856569
VB55520,1987,local,NA,13.9,NA,4.6,13.9,Female,-7.012856569
VC47008,1987,local,NA,13.9,NA,4.55,13.9,Female,-7.012856569
VC47011,1987,local,NA,13.95,NA,4.65,13.95,Female,-7.012856569
VC47015,1987,local,13.5,NA,4.6,NA,13.5,Male,-7.012856569
VC47018,1987,local,13.15,NA,4.5,NA,13.15,Male,-7.012856569
VC47020,1987,local,NA,12.5,NA,4.5,12.5,Female,-7.012856569
VC47059,1987,local,NA,14.55,NA,4.55,14.55,Female,-7.012856569
VC47077,1987,local,NA,14.05,NA,4.75,14.05,Female,-7.012856569
VC47081,1987,local,NA,13.85,NA,4.5,13.85,Female,-7.012856569
VC47082,1987,local,NA,13.5,NA,4.3,13.5,Female,-7.012856569
VC47094,1987,local,NA,13.6,NA,4.55,13.6,Female,-7.012856569
VC47098,1987,local,13.35,NA,4.45,NA,13.35,Male,-7.012856569
VC47106,1987,local,13.9,NA,4.5,NA,13.9,Male,-7.012856569
VC47114,1987,local,NA,13.85,NA,4.6,13.85,Female,-7.012856569
VC47117,1987,local,13.4,NA,4.75,NA,13.4,Male,-7.012856569
VC47121,1987,local,13.9,NA,4.8,NA,13.9,Male,-7.012856569
VC47150,1987,local,13.35,NA,4.65,NA,13.35,Male,-7.012856569
VC47168,1987,local,NA,13.95,NA,4.3,13.95,Female,-7.012856569
VC47196,1987,local,13.8,NA,4.8,NA,13.8,Male,-7.012856569
E906920,1988,immigrant,NA,13.15,NA,4.4,13.15,Female,-6.012856569
E906933,1988,immigrant,NA,13.65,NA,4.4,13.65,Female,-6.012856569
E906935,1988,immigrant,NA,13.2,NA,4.4,13.2,Female,-6.012856569
E906936,1988,immigrant,12.85,NA,4.55,NA,12.85,Male,-6.012856569
E906948,1988,immigrant,NA,13.5,NA,4.35,13.5,Female,-6.012856569
E906949,1988,immigrant,13.4,NA,4.5,NA,13.4,Male,-6.012856569
E906950,1988,immigrant,NA,13.5,NA,4.4,13.5,Female,-6.012856569
E906964,1988,immigrant,NA,13.5,NA,4.3,13.5,Female,-6.012856569
E906965,1988,immigrant,13,NA,4.5,NA,13,Male,-6.012856569
E906976,1988,immigrant,NA,14,NA,4.3,14,Female,-6.012856569
E906977,1988,immigrant,NA,13.6,NA,4.5,13.6,Female,-6.012856569
E906978,1988,immigrant,NA,14,NA,4.5,14,Female,-6.012856569
E906988,1988,immigrant,NA,13.5,NA,4.6,13.5,Female,-6.012856569
E906989,1988,immigrant,13.9,NA,4.75,NA,13.9,Male,-6.012856569
E906990,1988,immigrant,13.6,NA,4.65,NA,13.6,Male,-6.012856569
E906991,1988,immigrant,13.5,NA,4.4,NA,13.5,Male,-6.012856569
E906992,1988,immigrant,NA,14,NA,4.15,14,Female,-6.012856569
E906993,1988,immigrant,14.1,NA,4.7,NA,14.1,Male,-6.012856569
E906994,1988,immigrant,14,NA,4.7,NA,14,Male,-6.012856569
E906995,1988,immigrant,NA,13.4,NA,4.45,13.4,Female,-6.012856569
E906996,1988,immigrant,NA,14,NA,4.5,14,Female,-6.012856569
E906997,1988,immigrant,14.3,NA,4.9,NA,14.3,Male,-6.012856569
E906998,1988,immigrant,14,NA,4.6,NA,14,Male,-6.012856569
E906999,1988,immigrant,NA,13.45,NA,4.4,13.45,Female,-6.012856569
E956473,1988,immigrant,13.7,NA,4.6,NA,13.7,Male,-6.012856569
E956474,1988,immigrant,NA,13.45,NA,4.4,13.45,Female,-6.012856569
E956520,1988,immigrant,NA,13.5,NA,4.7,13.5,Female,-6.012856569
E956523,1988,immigrant,13.7,NA,4.7,NA,13.7,Male,-6.012856569
E956524,1988,immigrant,14,NA,4.8,NA,14,Male,-6.012856569
E956550,1988,immigrant,13.15,NA,4.45,NA,13.15,Male,-6.012856569
E956551,1988,immigrant,13.65,NA,4.6,NA,13.65,Male,-6.012856569
NN87841,1988,local,14.4,NA,4.6,NA,14.4,Male,-6.012856569
VE26006,1988,local,13.05,NA,4.75,NA,13.05,Male,-6.012856569
VE27025,1988,local,NA,13.9,NA,4.3,13.9,Female,-6.012856569
VE27042,1988,local,13,NA,4.7,NA,13,Male,-6.012856569
VE27048,1988,local,NA,15.8,NA,4.55,15.8,Female,-6.012856569
VE27061,1988,local,NA,13.7,NA,4.4,13.7,Female,-6.012856569
VE27069,1988,local,NA,13.5,NA,4.4,13.5,Female,-6.012856569
VE27083,1988,local,13.8,NA,4.75,NA,13.8,Male,-6.012856569
VE27086,1988,local,NA,14.2,NA,4.8,14.2,Female,-6.012856569
VE27090,1988,local,14.25,NA,4.75,NA,14.25,Male,-6.012856569
VE27092,1988,local,NA,13.9,NA,4.8,13.9,Female,-6.012856569
VE27101,1988,local,NA,13.55,NA,4.3,13.55,Female,-6.012856569
VE27108,1988,local,13.4,NA,4.5,NA,13.4,Male,-6.012856569
VE27123,1988,local,NA,13.4,NA,4.3,13.4,Female,-6.012856569
VE27145,1988,local,NA,13.6,NA,4.5,13.6,Female,-6.012856569
VE27149,1988,local,13.8,NA,4.5,NA,13.8,Male,-6.012856569
VE27161,1988,local,NA,13,NA,4.35,13,Female,-6.012856569
VE27206,1988,local,NA,13.7,NA,4.5,13.7,Female,-6.012856569
VE27235,1988,local,13.6,NA,4.65,NA,13.6,Male,-6.012856569
VE27246,1988,local,NA,13.6,NA,4.4,13.6,Female,-6.012856569
VE27255,1988,local,NA,13.6,NA,4.45,13.6,Female,-6.012856569
VE27315,1988,local,14,NA,4.65,NA,14,Male,-6.012856569
VE27377,1988,local,13.3,NA,4.45,NA,13.3,Male,-6.012856569
VE27381,1988,local,NA,14,NA,4.5,14,Female,-6.012856569
VE27414,1988,local,13,NA,4.6,NA,13,Male,-6.012856569
VE27454,1988,local,NA,14.45,NA,4.55,14.45,Female,-6.012856569
VE27457,1988,local,13.15,NA,4.5,NA,13.15,Male,-6.012856569
VE27498,1988,local,13.8,NA,4.7,NA,13.8,Male,-6.012856569
VE27515,1988,local,12.8,NA,4.55,NA,12.8,Male,-6.012856569
VE27552,1988,local,14.5,NA,4.6,NA,14.5,Male,-6.012856569
VE27565,1988,local,NA,13.4,NA,4.5,13.4,Female,-6.012856569
VE27578,1988,local,NA,13.4,NA,4.4,13.4,Female,-6.012856569
VE27619,1988,local,13.35,NA,4.6,NA,13.35,Male,-6.012856569
VE32530,1988,local,NA,14.4,NA,4.5,14.4,Female,-6.012856569
VE32576,1988,local,NA,14.4,NA,4.4,14.4,Female,-6.012856569
VE33108,1988,local,NA,13.7,NA,4.45,13.7,Female,-6.012856569
VE33122,1988,local,NA,13.9,NA,4.5,13.9,Female,-6.012856569
VE33515,1988,local,NA,13.1,NA,4.2,13.1,Female,-6.012856569
VE33634,1988,local,NA,14.4,NA,4.3,14.4,Female,-6.012856569
VE33732,1988,local,NA,13.85,NA,4.55,13.85,Female,-6.012856569
E956806,1989,immigrant,13.6,NA,4.6,NA,13.6,Male,-5.012856569
E956819,1989,immigrant,13.7,NA,4.5,NA,13.7,Male,-5.012856569
E956867,1989,immigrant,NA,12.9,NA,4.3,12.9,Female,-5.012856569
E956868,1989,immigrant,13.3,NA,4.6,NA,13.3,Male,-5.012856569
E956873,1989,immigrant,NA,13.9,NA,4.1,13.9,Female,-5.012856569
E956947,1989,immigrant,NA,13.8,NA,4.35,13.8,Female,-5.012856569
E956948,1989,immigrant,12.6,NA,4.45,NA,12.6,Male,-5.012856569
E956957,1989,immigrant,13.45,NA,4.4,NA,13.45,Male,-5.012856569
E956958,1989,immigrant,NA,14,NA,4.2,14,Female,-5.012856569
E956991,1989,immigrant,NA,13.6,NA,4.45,13.6,Female,-5.012856569
E956992,1989,immigrant,NA,13.8,NA,4.55,13.8,Female,-5.012856569
E956994,1989,immigrant,13.5,NA,4.4,NA,13.5,Male,-5.012856569
E956995,1989,immigrant,13.5,NA,4.7,NA,13.5,Male,-5.012856569
E956997,1989,immigrant,13.2,NA,4.45,NA,13.2,Male,-5.012856569
E956998,1989,immigrant,NA,14.3,NA,4.65,14.3,Female,-5.012856569
E956999,1989,immigrant,NA,14.3,NA,4.5,14.3,Female,-5.012856569
E957000,1989,immigrant,13.8,NA,4.8,NA,13.8,Male,-5.012856569
F464340,1989,local,NA,14,NA,4.5,14,Female,-5.012856569
F491101,1989,immigrant,13.05,NA,4.6,NA,13.05,Male,-5.012856569
F491248,1989,immigrant,13.6,NA,4.55,NA,13.6,Male,-5.012856569
F491309,1989,immigrant,NA,13.6,NA,4.5,13.6,Female,-5.012856569
F937184,1989,immigrant,NA,14.3,NA,4.5,14.3,Female,-5.012856569
F937185,1989,immigrant,13.85,NA,4.45,NA,13.85,Male,-5.012856569
F937300,1989,immigrant,14.1,NA,4.8,NA,14.1,Male,-5.012856569
VC47256,1989,local,14,NA,4.6,NA,14,Male,-5.012856569
VC47261,1989,local,NA,14.7,NA,4.8,14.7,Female,-5.012856569
VC47268,1989,local,NA,14.3,NA,4.5,14.3,Female,-5.012856569
VC47273,1989,local,13.9,NA,4.6,NA,13.9,Male,-5.012856569
VC47284,1989,local,12.75,NA,4.5,NA,12.75,Male,-5.012856569
VC47285,1989,local,NA,14.3,NA,4.5,14.3,Female,-5.012856569
VE26021,1989,local,13.7,NA,4.7,NA,13.7,Male,-5.012856569
VE26050,1989,local,NA,14,NA,4.5,14,Female,-5.012856569
VE26299,1989,local,NA,13,NA,4.35,13,Female,-5.012856569
VE26450,1989,local,13,NA,4.6,NA,13,Male,-5.012856569
VE26451,1989,local,13.7,NA,4.6,NA,13.7,Male,-5.012856569
VE26455,1989,local,13.2,NA,4.5,NA,13.2,Male,-5.012856569
VE26457,1989,local,13.7,NA,4.5,NA,13.7,Male,-5.012856569
VE27705,1989,local,NA,14,NA,4.3,14,Female,-5.012856569
VE27708,1989,local,NA,14.1,NA,4.6,14.1,Female,-5.012856569
VE27712,1989,local,NA,13.75,NA,4.5,13.75,Female,-5.012856569
VE27715,1989,local,13.2,NA,4.5,NA,13.2,Male,-5.012856569
VE27746,1989,local,14.4,NA,4.6,NA,14.4,Male,-5.012856569
VE27747,1989,local,NA,13.5,NA,4.5,13.5,Female,-5.012856569
VE27767,1989,local,NA,13.5,NA,4.6,13.5,Female,-5.012856569
VE27777,1989,local,NA,14.3,NA,4.35,14.3,Female,-5.012856569
VE27778,1989,local,13.5,NA,4.5,NA,13.5,Male,-5.012856569
VE27792,1989,local,NA,13.7,NA,4.3,13.7,Female,-5.012856569
VE27798,1989,local,13.8,NA,4.5,NA,13.8,Male,-5.012856569
VE27805,1989,local,NA,13.6,NA,4.3,13.6,Female,-5.012856569
VE27810,1989,local,NA,14,NA,4.4,14,Female,-5.012856569
VE27812,1989,local,NA,13.75,NA,4.65,13.75,Female,-5.012856569
VE27827,1989,local,13.2,NA,4.45,NA,13.2,Male,-5.012856569
VE27848,1989,local,14.1,NA,4.4,NA,14.1,Male,-5.012856569
VE27854,1989,local,14.2,NA,4.8,NA,14.2,Male,-5.012856569
VE27865,1989,local,NA,13.45,NA,4.35,13.45,Female,-5.012856569
VE27873,1989,local,13.5,NA,4.75,NA,13.5,Male,-5.012856569
VE27883,1989,local,NA,13.5,NA,4.2,13.5,Female,-5.012856569
VE27900,1989,local,14,NA,4.9,NA,14,Male,-5.012856569
VE27921,1989,local,13.5,NA,4.5,NA,13.5,Male,-5.012856569
VE27974,1989,local,13.6,NA,4.7,NA,13.6,Male,-5.012856569
VE27976,1989,local,NA,14.2,NA,4.4,14.2,Female,-5.012856569
VE27997,1989,local,NA,13.5,NA,4.5,13.5,Female,-5.012856569
VE32774,1989,local,13.6,NA,4.8,NA,13.6,Male,-5.012856569
VE32776,1989,local,13.5,NA,4.6,NA,13.5,Male,-5.012856569
