"","ring","date","seeds","recs","pit","yr","sp","ring.info"
"106.17","tb26097","2008-10-20",28,28,"2E8555","2008","G","2007/08winter"
"106.18","tb26097","2008-10-21",40,44,"2E8555","2008","G","2007/08winter"
"106.19","tb26097","2008-10-23",35,37,"2E8555","2008","G","2007/08winter"
"106.20","tb26097","2008-10-24",45,46,"2E8555","2008","G","2007/08winter"
"106.21","tb26097","2008-10-25",3,4,"2E8555","2008","G","2007/08winter"
"106.22","tb26097","2008-10-27",1,1,"2E8555","2008","G","2007/08winter"
"106.23","tb26097","2008-10-30",14,15,"2E8555","2008","G","2007/08winter"
"106.24","tb26097","2008-10-31",38,41,"2E8555","2008","G","2007/08winter"
"106.25","tb26097","2008-11-01",8,8,"2E8555","2008","G","2007/08winter"
"106.26","tb26097","2008-11-16",18,18,"2E8555","2008","G","2007/08winter"
"106.27","tb26097","2008-11-17",61,65,"2E8555","2008","G","2007/08winter"
"106.28","tb26097","2008-11-18",50,50,"2E8555","2008","G","2007/08winter"
"106.29","tb26097","2008-11-19",24,25,"2E8555","2008","G","2007/08winter"
"106.30","tb26097","2008-11-21",48,50,"2E8555","2008","G","2007/08winter"
"106.31","tb26097","2008-11-22",48,49,"2E8555","2008","G","2007/08winter"
"106.32","tb26097","2008-11-24",44,46,"2E8555","2008","G","2007/08winter"
"106.33","tb26097","2008-11-25",69,70,"2E8555","2008","G","2007/08winter"
"106.34","tb26097","2008-11-26",21,21,"2E8555","2008","G","2007/08winter"
"106.35","tb26097","2008-12-05",32,32,"2E8555","2008","G","2007/08winter"
"106.36","tb26097","2008-12-06",6,8,"2E8555","2008","G","2007/08winter"
"106.37","tb26097","2008-12-11",2,2,"2E8555","2008","G","2007/08winter"
"106.38","tb26097","2008-12-15",12,12,"2E8555","2008","G","2007/08winter"
"106.39","tb26097","2008-12-19",36,39,"2E8555","2008","G","2007/08winter"
"106.40","tb26097","2008-12-20",21,23,"2E8555","2008","G","2007/08winter"
"106.41","tb26097","2008-12-23",17,17,"2E8555","2008","G","2007/08winter"
"106.42","tb26097","2008-12-30",4,5,"2E8555","2008","G","2007/08winter"
"106.43","tb26097","2008-12-31",64,65,"2E8555","2008","G","2007/08winter"
"106.44","tb26097","2009-01-01",20,26,"2E8555","2009","G","2007/08winter"
"106.45","tb26097","2009-01-02",1,1,"2E8555","2009","G","2007/08winter"
"106.46","tb26097","2009-01-04",1,1,"2E8555","2009","G","2007/08winter"
"106.47","tb26097","2009-01-06",12,14,"2E8555","2009","G","2007/08winter"
"106.48","tb26097","2009-01-07",44,46,"2E8555","2009","G","2007/08winter"
"106.49","tb26097","2009-01-14",19,19,"2E8555","2009","G","2007/08winter"
"106.50","tb26097","2009-01-15",33,33,"2E8555","2009","G","2007/08winter"
"106.51","tb26097","2009-01-16",13,16,"2E8555","2009","G","2007/08winter"
"106.52","tb26097","2009-01-17",37,40,"2E8555","2009","G","2007/08winter"
"106.53","tb26097","2009-01-18",39,43,"2E8555","2009","G","2007/08winter"
"106.54","tb26097","2009-01-19",2,2,"2E8555","2009","G","2007/08winter"
"106.55","tb26097","2009-01-20",2,2,"2E8555","2009","G","2007/08winter"
"106.56","tb26097","2009-01-21",37,38,"2E8555","2009","G","2007/08winter"
"106.57","tb26097","2009-01-24",40,41,"2E8555","2009","G","2007/08winter"
"106.58","tb26097","2009-01-25",37,39,"2E8555","2009","G","2007/08winter"
"106.59","tb26097","2009-01-26",11,11,"2E8555","2009","G","2007/08winter"
"106.60","tb26097","2009-01-27",13,13,"2E8555","2009","G","2007/08winter"
"5429","tl37408","2009-01-30",6,6,"2E8620","2009","G","2008pullus"
"5429.1","tl37408","2009-12-23",2,3,"2E8620","2009","G","2008pullus"
"5442","tl37421","2008-08-31",7,7,"2E871F","2008","G","2008pullus"
"5442.1","tl37421","2008-09-01",12,12,"2E871F","2008","G","2008pullus"
"4138","x235615","2009-03-11",35,35,"2E89BB","2009","G","2008/09winter"
"4138.1","x235615","2009-10-01",29,30,"2E89BB","2009","G","2008/09winter"
"4138.2","x235615","2009-10-02",45,50,"2E89BB","2009","G","2008/09winter"
"4138.3","x235615","2009-10-03",4,5,"2E89BB","2009","G","2008/09winter"
"4138.4","x235615","2009-10-04",1,1,"2E89BB","2009","G","2008/09winter"
"4138.5","x235615","2009-10-22",2,2,"2E89BB","2009","G","2008/09winter"
"4138.6","x235615","2009-11-24",2,2,"2E89BB","2009","G","2008/09winter"
"4138.7","x235615","2009-11-26",1,1,"2E89BB","2009","G","2008/09winter"
"4138.8","x235615","2009-12-03",24,25,"2E89BB","2009","G","2008/09winter"
"4138.9","x235615","2009-12-04",15,16,"2E89BB","2009","G","2008/09winter"
"4138.10","x235615","2009-12-05",1,1,"2E89BB","2009","G","2008/09winter"
"4138.11","x235615","2009-12-15",21,24,"2E89BB","2009","G","2008/09winter"
"4138.12","x235615","2009-12-16",23,23,"2E89BB","2009","G","2008/09winter"
"4138.13","x235615","2009-12-17",1,1,"2E89BB","2009","G","2008/09winter"
"4138.14","x235615","2009-12-19",1,1,"2E89BB","2009","G","2008/09winter"
"4138.15","x235615","2009-12-21",22,24,"2E89BB","2009","G","2008/09winter"
"4138.16","x235615","2009-12-22",45,50,"2E89BB","2009","G","2008/09winter"
"4138.17","x235615","2009-12-23",46,50,"2E89BB","2009","G","2008/09winter"
"4138.18","x235615","2010-01-27",13,13,"2E89BB","2010","G","2008/09winter"
"4138.19","x235615","2010-01-28",3,3,"2E89BB","2010","G","2008/09winter"
"4138.20","x235615","2010-02-11",12,13,"2E89BB","2010","G","2008/09winter"
"4138.21","x235615","2010-02-16",8,8,"2E89BB","2010","G","2008/09winter"
"4138.22","x235615","2010-02-17",32,35,"2E89BB","2010","G","2008/09winter"
"4138.23","x235615","2010-02-24",16,16,"2E89BB","2010","G","2008/09winter"
"4138.24","x235615","2010-02-25",1,1,"2E89BB","2010","G","2008/09winter"
"4138.25","x235615","2010-03-01",45,54,"2E89BB","2010","G","2008/09winter"
"4138.26","x235615","2010-03-02",14,15,"2E89BB","2010","G","2008/09winter"
"4138.27","x235615","2010-03-04",38,41,"2E89BB","2010","G","2008/09winter"
"4138.28","x235615","2010-03-05",12,14,"2E89BB","2010","G","2008/09winter"
"4138.29","x235615","2010-03-06",1,1,"2E89BB","2010","G","2008/09winter"
"4013","t640648","2009-02-26",11,13,"2E8A99","2009","G","2008/09winter"
"4013.1","t640648","2009-02-27",3,4,"2E8A99","2009","G","2008/09winter"
"4013.2","t640648","2009-02-28",2,3,"2E8A99","2009","G","2008/09winter"
"4013.3","t640648","2009-03-03",1,1,"2E8A99","2009","G","2008/09winter"
"8229","x237918","2009-10-18",3,3,"2E8ACA","2009","G","2009/10winter"
"8229.1","x237918","2009-10-22",3,3,"2E8ACA","2009","G","2009/10winter"
"8229.2","x237918","2009-10-23",1,1,"2E8ACA","2009","G","2009/10winter"
"8229.3","x237918","2010-03-03",8,8,"2E8ACA","2010","G","2009/10winter"
"8229.4","x237918","2010-03-06",2,2,"2E8ACA","2010","G","2009/10winter"
"4222","e985071","2008-09-19",19,20,"2E8B2E","2008","G","2008breeder"
"4222.1","e985071","2008-09-20",3,4,"2E8B2E","2008","G","2008breeder"
"4222.2","e985071","2008-10-17",15,16,"2E8B2E","2008","G","2008breeder"
"4222.3","e985071","2009-01-26",16,17,"2E8B2E","2009","G","2008breeder"
"4222.4","e985071","2009-02-14",10,13,"2E8B2E","2009","G","2008breeder"
"4222.5","e985071","2009-02-16",18,18,"2E8B2E","2009","G","2008breeder"
"4222.6","e985071","2009-02-17",7,7,"2E8B2E","2009","G","2008breeder"
"4222.7","e985071","2009-02-19",2,2,"2E8B2E","2009","G","2008breeder"
"4222.8","e985071","2009-02-20",1,1,"2E8B2E","2009","G","2008breeder"
"4222.9","e985071","2009-02-21",5,5,"2E8B2E","2009","G","2008breeder"
"4222.10","e985071","2009-02-24",5,5,"2E8B2E","2009","G","2008breeder"
"4222.11","e985071","2009-02-27",16,18,"2E8B2E","2009","G","2008breeder"
"4222.12","e985071","2009-02-28",17,18,"2E8B2E","2009","G","2008breeder"
"4222.13","e985071","2009-03-10",14,15,"2E8B2E","2009","G","2008breeder"
"4222.14","e985071","2009-03-11",38,38,"2E8B2E","2009","G","2008breeder"
"4222.15","e985071","2009-03-12",1,1,"2E8B2E","2009","G","2008breeder"
"8297","x239846","2010-03-01",27,30,"2E8BD4","2010","G","2009/10winter"
"8297.1","x239846","2010-03-03",3,3,"2E8BD4","2010","G","2009/10winter"
"6042","tl39062","2009-01-13",4,4,"2E8BEA","2009","G","2008pullus"
"6042.1","tl39062","2009-01-18",25,25,"2E8BEA","2009","G","2008pullus"
"6042.2","tl39062","2009-01-19",37,38,"2E8BEA","2009","G","2008pullus"
"6042.3","tl39062","2009-01-20",3,4,"2E8BEA","2009","G","2008pullus"
"6042.4","tl39062","2009-01-21",42,43,"2E8BEA","2009","G","2008pullus"
"6042.5","tl39062","2009-01-22",1,1,"2E8BEA","2009","G","2008pullus"
"6042.6","tl39062","2009-01-24",11,12,"2E8BEA","2009","G","2008pullus"
"6042.7","tl39062","2009-01-26",1,1,"2E8BEA","2009","G","2008pullus"
"6042.8","tl39062","2009-02-04",38,39,"2E8BEA","2009","G","2008pullus"
"6042.9","tl39062","2009-02-05",55,57,"2E8BEA","2009","G","2008pullus"
"6042.10","tl39062","2009-02-07",1,2,"2E8BEA","2009","G","2008pullus"
"6042.11","tl39062","2009-02-08",1,1,"2E8BEA","2009","G","2008pullus"
"6042.12","tl39062","2009-02-16",5,5,"2E8BEA","2009","G","2008pullus"
"6042.13","tl39062","2009-02-24",19,22,"2E8BEA","2009","G","2008pullus"
"6042.14","tl39062","2009-02-25",9,9,"2E8BEA","2009","G","2008pullus"
"6042.15","tl39062","2009-03-10",43,45,"2E8BEA","2009","G","2008pullus"
"6042.16","tl39062","2009-03-11",34,34,"2E8BEA","2009","G","2008pullus"
"4149","x239558","2009-02-27",19,20,"2E8D7D","2009","G","2008/09winter"
"4149.1","x239558","2009-03-01",1,1,"2E8D7D","2009","G","2008/09winter"
"4545","tj24530","2008-09-13",1,1,"2E8DCE","2008","G","2008pullus"
"4545.1","tj24530","2008-09-14",2,2,"2E8DCE","2008","G","2008pullus"
"4545.2","tj24530","2008-10-14",3,3,"2E8DCE","2008","G","2008pullus"
"4545.3","tj24530","2008-10-24",10,17,"2E8DCE","2008","G","2008pullus"
"4545.4","tj24530","2008-10-27",1,1,"2E8DCE","2008","G","2008pullus"
"4545.5","tj24530","2008-11-25",39,40,"2E8DCE","2008","G","2008pullus"
"4545.6","tj24530","2008-11-26",9,12,"2E8DCE","2008","G","2008pullus"
"4545.7","tj24530","2008-12-19",19,22,"2E8DCE","2008","G","2008pullus"
"4545.8","tj24530","2008-12-20",7,10,"2E8DCE","2008","G","2008pullus"
"4545.9","tj24530","2009-01-05",12,13,"2E8DCE","2009","G","2008pullus"
"4545.10","tj24530","2009-01-06",49,54,"2E8DCE","2009","G","2008pullus"
"4545.11","tj24530","2009-01-07",14,16,"2E8DCE","2009","G","2008pullus"
"4545.12","tj24530","2009-01-16",16,16,"2E8DCE","2009","G","2008pullus"
"4545.13","tj24530","2009-01-17",17,21,"2E8DCE","2009","G","2008pullus"
"4545.14","tj24530","2009-01-18",2,3,"2E8DCE","2009","G","2008pullus"
"4545.15","tj24530","2009-01-23",8,9,"2E8DCE","2009","G","2008pullus"
"4545.16","tj24530","2009-01-24",37,38,"2E8DCE","2009","G","2008pullus"
"4545.17","tj24530","2009-02-12",47,50,"2E8DCE","2009","G","2008pullus"
"4545.18","tj24530","2009-02-13",11,14,"2E8DCE","2009","G","2008pullus"
"4545.19","tj24530","2009-02-16",1,2,"2E8DCE","2009","G","2008pullus"
"4545.20","tj24530","2009-02-26",16,16,"2E8DCE","2009","G","2008pullus"
"4545.21","tj24530","2009-02-27",59,61,"2E8DCE","2009","G","2008pullus"
"4545.22","tj24530","2009-02-28",1,1,"2E8DCE","2009","G","2008pullus"
"4545.23","tj24530","2009-03-01",1,1,"2E8DCE","2009","G","2008pullus"
"4545.24","tj24530","2009-03-02",1,1,"2E8DCE","2009","G","2008pullus"
"4545.25","tj24530","2009-10-09",24,25,"2E8DCE","2009","G","2008pullus"
"4545.26","tj24530","2009-10-10",11,15,"2E8DCE","2009","G","2008pullus"
"4545.27","tj24530","2009-10-14",32,33,"2E8DCE","2009","G","2008pullus"
"4545.28","tj24530","2009-10-15",26,27,"2E8DCE","2009","G","2008pullus"
"4545.29","tj24530","2009-10-16",1,1,"2E8DCE","2009","G","2008pullus"
"4545.30","tj24530","2009-10-19",1,1,"2E8DCE","2009","G","2008pullus"
"4545.31","tj24530","2009-11-13",1,1,"2E8DCE","2009","G","2008pullus"
"4949","tk26692","2009-02-27",18,20,"2E8FC1","2009","G","2008pullus"
"4949.1","tk26692","2009-02-28",1,1,"2E8FC1","2009","G","2008pullus"
"6123","tl39143","2008-08-24",16,17,"2E8FD8","2008","G","2008pullus"
"6123.1","tl39143","2008-08-25",13,15,"2E8FD8","2008","G","2008pullus"
"6123.2","tl39143","2008-08-26",2,2,"2E8FD8","2008","G","2008pullus"
"6123.3","tl39143","2008-09-02",15,18,"2E8FD8","2008","G","2008pullus"
"6123.4","tl39143","2008-09-03",51,54,"2E8FD8","2008","G","2008pullus"
"6123.5","tl39143","2008-09-04",30,31,"2E8FD8","2008","G","2008pullus"
"6123.6","tl39143","2008-09-15",35,36,"2E8FD8","2008","G","2008pullus"
"6123.7","tl39143","2008-09-16",13,15,"2E8FD8","2008","G","2008pullus"
"6123.8","tl39143","2008-09-17",1,1,"2E8FD8","2008","G","2008pullus"
"6123.9","tl39143","2008-10-01",3,5,"2E8FD8","2008","G","2008pullus"
"6123.10","tl39143","2008-10-14",6,7,"2E8FD8","2008","G","2008pullus"
"6123.11","tl39143","2008-10-17",44,48,"2E8FD8","2008","G","2008pullus"
"6123.12","tl39143","2008-10-18",2,2,"2E8FD8","2008","G","2008pullus"
"6123.13","tl39143","2008-10-22",4,4,"2E8FD8","2008","G","2008pullus"
"6123.14","tl39143","2008-10-24",32,33,"2E8FD8","2008","G","2008pullus"
"6123.15","tl39143","2008-11-25",53,57,"2E8FD8","2008","G","2008pullus"
"6123.16","tl39143","2008-11-26",20,20,"2E8FD8","2008","G","2008pullus"
"6123.17","tl39143","2008-12-11",3,3,"2E8FD8","2008","G","2008pullus"
"6123.18","tl39143","2008-12-19",56,61,"2E8FD8","2008","G","2008pullus"
"6123.19","tl39143","2008-12-20",19,23,"2E8FD8","2008","G","2008pullus"
"6123.20","tl39143","2008-12-23",19,22,"2E8FD8","2008","G","2008pullus"
"6123.21","tl39143","2008-12-31",83,93,"2E8FD8","2008","G","2008pullus"
"6123.22","tl39143","2009-01-03",1,1,"2E8FD8","2009","G","2008pullus"
"6123.23","tl39143","2009-01-14",2,2,"2E8FD8","2009","G","2008pullus"
"6123.24","tl39143","2009-01-15",10,11,"2E8FD8","2009","G","2008pullus"
"6123.25","tl39143","2009-01-16",10,12,"2E8FD8","2009","G","2008pullus"
"6123.26","tl39143","2009-01-17",30,33,"2E8FD8","2009","G","2008pullus"
"6123.27","tl39143","2009-01-18",20,22,"2E8FD8","2009","G","2008pullus"
"6123.28","tl39143","2009-01-19",2,2,"2E8FD8","2009","G","2008pullus"
"6123.29","tl39143","2009-01-21",40,42,"2E8FD8","2009","G","2008pullus"
"6123.30","tl39143","2009-01-22",7,8,"2E8FD8","2009","G","2008pullus"
"6123.31","tl39143","2009-01-23",3,3,"2E8FD8","2009","G","2008pullus"
"6123.32","tl39143","2009-01-24",18,22,"2E8FD8","2009","G","2008pullus"
"6123.33","tl39143","2009-01-25",12,16,"2E8FD8","2009","G","2008pullus"
"6123.34","tl39143","2009-01-26",1,1,"2E8FD8","2009","G","2008pullus"
"4000","t176960","2009-02-25",14,16,"2E90A9","2009","G","2008/09winter"
"4000.1","t176960","2009-11-25",10,10,"2E90A9","2009","G","2008/09winter"
"4000.2","t176960","2009-11-27",1,1,"2E90A9","2009","G","2008/09winter"
"4000.3","t176960","2009-12-01",1,1,"2E90A9","2009","G","2008/09winter"
"5367","tl37214","2008-12-23",1,1,"2E90BD","2008","G","2008pullus"
"5367.1","tl37214","2009-01-18",2,3,"2E90BD","2009","G","2008pullus"
"5367.2","tl37214","2009-01-20",12,14,"2E90BD","2009","G","2008pullus"
"5367.3","tl37214","2009-01-21",2,2,"2E90BD","2009","G","2008pullus"
"5367.4","tl37214","2009-01-24",22,29,"2E90BD","2009","G","2008pullus"
"5367.5","tl37214","2009-01-30",11,13,"2E90BD","2009","G","2008pullus"
"5367.6","tl37214","2009-02-12",24,25,"2E90BD","2009","G","2008pullus"
"5367.7","tl37214","2009-02-13",15,16,"2E90BD","2009","G","2008pullus"
"5367.8","tl37214","2009-02-14",12,13,"2E90BD","2009","G","2008pullus"
"5367.9","tl37214","2009-02-15",1,1,"2E90BD","2009","G","2008pullus"
"5367.10","tl37214","2009-02-24",21,23,"2E90BD","2009","G","2008pullus"
"5167","tl37014","2008-10-17",20,22,"2E91E3","2008","G","2008pullus"
"5167.1","tl37014","2008-10-31",6,7,"2E91E3","2008","G","2008pullus"
"5167.2","tl37014","2008-11-19",9,10,"2E91E3","2008","G","2008pullus"
"5167.3","tl37014","2008-12-05",14,17,"2E91E3","2008","G","2008pullus"
"5167.4","tl37014","2008-12-06",1,1,"2E91E3","2008","G","2008pullus"
"4057","tj26565","2008-12-06",2,2,"2E92CA","2008","G","2008/09winter"
"4057.1","tj26565","2008-12-07",1,2,"2E92CA","2008","G","2008/09winter"
"4057.2","tj26565","2009-01-14",16,17,"2E92CA","2009","G","2008/09winter"
"4057.3","tj26565","2009-01-15",18,22,"2E92CA","2009","G","2008/09winter"
"4057.4","tj26565","2009-01-16",4,5,"2E92CA","2009","G","2008/09winter"
"4057.5","tj26565","2009-01-30",2,2,"2E92CA","2009","G","2008/09winter"
"4057.6","tj26565","2009-01-31",20,21,"2E92CA","2009","G","2008/09winter"
"4057.7","tj26565","2009-02-01",11,15,"2E92CA","2009","G","2008/09winter"
"4057.8","tj26565","2009-02-02",1,1,"2E92CA","2009","G","2008/09winter"
"4057.9","tj26565","2009-02-03",1,1,"2E92CA","2009","G","2008/09winter"
"4057.10","tj26565","2009-02-16",12,12,"2E92CA","2009","G","2008/09winter"
"4057.11","tj26565","2009-02-17",22,25,"2E92CA","2009","G","2008/09winter"
"4057.12","tj26565","2009-02-18",5,5,"2E92CA","2009","G","2008/09winter"
"4057.13","tj26565","2009-02-19",13,14,"2E92CA","2009","G","2008/09winter"
"4057.14","tj26565","2009-02-20",4,4,"2E92CA","2009","G","2008/09winter"
"4057.15","tj26565","2009-11-25",10,11,"2E92CA","2009","G","2008/09winter"
"4057.16","tj26565","2009-11-26",14,14,"2E92CA","2009","G","2008/09winter"
"4057.17","tj26565","2009-11-28",2,2,"2E92CA","2009","G","2008/09winter"
"4057.18","tj26565","2009-12-01",1,1,"2E92CA","2009","G","2008/09winter"
"4057.19","tj26565","2010-03-01",33,34,"2E92CA","2010","G","2008/09winter"
"4057.20","tj26565","2010-03-02",24,24,"2E92CA","2010","G","2008/09winter"
"4057.21","tj26565","2010-03-03",1,1,"2E92CA","2010","G","2008/09winter"
"4057.22","tj26565","2010-03-04",13,14,"2E92CA","2010","G","2008/09winter"
"4057.23","tj26565","2010-03-05",28,31,"2E92CA","2010","G","2008/09winter"
"4057.24","tj26565","2010-03-06",12,13,"2E92CA","2010","G","2008/09winter"
"4057.25","tj26565","2010-03-07",5,5,"2E92CA","2010","G","2008/09winter"
"4057.26","tj26565","2010-03-08",1,1,"2E92CA","2010","G","2008/09winter"
"4036","t640779","2009-12-25",1,1,"2E936E","2009","G","2008/09winter"
"4172","x239583","2009-02-26",9,9,"2E93AB","2009","G","2008/09winter"
"5137","tl36484","2008-09-14",1,1,"2E9434","2008","G","2008pullus"
"4018","t640721","2009-02-24",27,27,"2E9446","2009","G","2008/09winter"
"4018.1","t640721","2009-02-25",17,19,"2E9446","2009","G","2008/09winter"
"4018.2","t640721","2009-02-27",1,2,"2E9446","2009","G","2008/09winter"
"4379","tb26824","2008-09-03",46,50,"2E946E","2008","G","2008breeder"
"4379.1","tb26824","2008-09-04",25,30,"2E946E","2008","G","2008breeder"
"4379.2","tb26824","2008-09-05",31,32,"2E946E","2008","G","2008breeder"
"4379.3","tb26824","2008-09-06",8,12,"2E946E","2008","G","2008breeder"
"4379.4","tb26824","2008-09-14",27,27,"2E946E","2008","G","2008breeder"
"4379.5","tb26824","2008-09-16",23,25,"2E946E","2008","G","2008breeder"
"4379.6","tb26824","2008-09-17",31,33,"2E946E","2008","G","2008breeder"
"4379.7","tb26824","2008-09-18",18,22,"2E946E","2008","G","2008breeder"
"4379.8","tb26824","2008-09-19",26,27,"2E946E","2008","G","2008breeder"
"4379.9","tb26824","2008-09-20",9,9,"2E946E","2008","G","2008breeder"
"4379.10","tb26824","2008-09-21",1,1,"2E946E","2008","G","2008breeder"
"4379.11","tb26824","2008-09-23",7,7,"2E946E","2008","G","2008breeder"
"4379.12","tb26824","2008-09-24",20,22,"2E946E","2008","G","2008breeder"
"4379.13","tb26824","2008-09-25",7,7,"2E946E","2008","G","2008breeder"
"4379.14","tb26824","2008-09-28",1,1,"2E946E","2008","G","2008breeder"
"4379.15","tb26824","2008-09-30",21,23,"2E946E","2008","G","2008breeder"
"4379.16","tb26824","2008-10-01",36,41,"2E946E","2008","G","2008breeder"
"4379.17","tb26824","2008-10-02",26,27,"2E946E","2008","G","2008breeder"
"4379.18","tb26824","2008-10-03",17,19,"2E946E","2008","G","2008breeder"
"4379.19","tb26824","2008-10-04",10,11,"2E946E","2008","G","2008breeder"
"4379.20","tb26824","2008-10-09",1,1,"2E946E","2008","G","2008breeder"
"4379.21","tb26824","2008-10-15",1,1,"2E946E","2008","G","2008breeder"
"4379.22","tb26824","2008-10-17",12,12,"2E946E","2008","G","2008breeder"
"4379.23","tb26824","2008-10-19",1,1,"2E946E","2008","G","2008breeder"
"4379.24","tb26824","2008-11-04",13,13,"2E946E","2008","G","2008breeder"
"4379.25","tb26824","2008-11-07",23,23,"2E946E","2008","G","2008breeder"
"4379.26","tb26824","2008-11-12",4,4,"2E946E","2008","G","2008breeder"
"4379.27","tb26824","2008-11-26",7,7,"2E946E","2008","G","2008breeder"
"4379.28","tb26824","2008-12-04",2,2,"2E946E","2008","G","2008breeder"
"4379.29","tb26824","2008-12-05",3,3,"2E946E","2008","G","2008breeder"
"4379.30","tb26824","2008-12-18",8,9,"2E946E","2008","G","2008breeder"
"8233","x237922","2009-10-18",5,5,"2E9551","2009","G","2009/10winter"
"8233.1","x237922","2009-12-06",3,4,"2E9551","2009","G","2009/10winter"
"8233.2","x237922","2009-12-22",22,23,"2E9551","2009","G","2009/10winter"
"8233.3","x237922","2009-12-23",32,32,"2E9551","2009","G","2009/10winter"
"8233.4","x237922","2009-12-25",2,3,"2E9551","2009","G","2009/10winter"
"8233.5","x237922","2009-12-26",1,1,"2E9551","2009","G","2009/10winter"
"8233.6","x237922","2010-01-28",6,6,"2E9551","2010","G","2009/10winter"
"8233.7","x237922","2010-01-29",12,12,"2E9551","2010","G","2009/10winter"
"8233.8","x237922","2010-01-30",25,25,"2E9551","2010","G","2009/10winter"
"8233.9","x237922","2010-01-31",12,14,"2E9551","2010","G","2009/10winter"
"8233.10","x237922","2010-02-05",24,25,"2E9551","2010","G","2009/10winter"
"8233.11","x237922","2010-02-07",33,38,"2E9551","2010","G","2009/10winter"
"8233.12","x237922","2010-02-11",20,22,"2E9551","2010","G","2009/10winter"
"8233.13","x237922","2010-02-12",11,11,"2E9551","2010","G","2009/10winter"
"8233.14","x237922","2010-02-15",3,4,"2E9551","2010","G","2009/10winter"
"8233.15","x237922","2010-02-16",54,56,"2E9551","2010","G","2009/10winter"
"8233.16","x237922","2010-02-17",2,2,"2E9551","2010","G","2009/10winter"
"8233.17","x237922","2010-03-02",12,12,"2E9551","2010","G","2009/10winter"
"8233.18","x237922","2010-03-04",36,37,"2E9551","2010","G","2009/10winter"
"8233.19","x237922","2010-03-06",1,1,"2E9551","2010","G","2009/10winter"
"4363","t640815","2008-08-29",24,25,"2E959A","2008","G","2008breeder"
"4363.1","t640815","2008-08-30",3,3,"2E959A","2008","G","2008breeder"
"4363.2","t640815","2008-09-28",1,1,"2E959A","2008","G","2008breeder"
"8265","x237986","2010-02-07",1,1,"2E95E6","2010","G","2009/10winter"
"8265.1","x237986","2010-02-10",9,9,"2E95E6","2010","G","2009/10winter"
"8265.2","x237986","2010-02-17",2,3,"2E95E6","2010","G","2009/10winter"
"8265.3","x237986","2010-03-03",7,8,"2E95E6","2010","G","2009/10winter"
"8265.4","x237986","2010-03-04",18,20,"2E95E6","2010","G","2009/10winter"
"8265.5","x237986","2010-03-05",18,22,"2E95E6","2010","G","2009/10winter"
"4040","t640787","2009-03-10",7,7,"2E95FD","2009","G","2008/09winter"
"4040.1","t640787","2009-03-11",10,10,"2E95FD","2009","G","2008/09winter"
"4040.2","t640787","2009-10-04",3,3,"2E95FD","2009","G","2008/09winter"
"4040.3","t640787","2009-10-05",3,3,"2E95FD","2009","G","2008/09winter"
"4040.4","t640787","2009-10-06",34,35,"2E95FD","2009","G","2008/09winter"
"4040.5","t640787","2009-10-07",21,21,"2E95FD","2009","G","2008/09winter"
"4040.6","t640787","2009-12-04",7,7,"2E95FD","2009","G","2008/09winter"
"4040.7","t640787","2009-12-07",1,1,"2E95FD","2009","G","2008/09winter"
"4040.8","t640787","2009-12-15",16,16,"2E95FD","2009","G","2008/09winter"
"4040.9","t640787","2009-12-16",1,1,"2E95FD","2009","G","2008/09winter"
"4040.10","t640787","2010-02-03",3,3,"2E95FD","2010","G","2008/09winter"
"4040.11","t640787","2010-02-04",21,21,"2E95FD","2010","G","2008/09winter"
"4040.12","t640787","2010-02-05",22,23,"2E95FD","2010","G","2008/09winter"
"4040.13","t640787","2010-02-06",5,5,"2E95FD","2010","G","2008/09winter"
"4040.14","t640787","2010-02-07",1,1,"2E95FD","2010","G","2008/09winter"
"4040.15","t640787","2010-02-17",2,2,"2E95FD","2010","G","2008/09winter"
"4040.16","t640787","2010-02-23",27,28,"2E95FD","2010","G","2008/09winter"
"4040.17","t640787","2010-02-24",10,10,"2E95FD","2010","G","2008/09winter"
"4040.18","t640787","2010-02-25",1,2,"2E95FD","2010","G","2008/09winter"
"5529","tl37508","2009-01-20",4,4,"2E96DC","2009","G","2008pullus"
"5529.1","tl37508","2009-01-30",19,22,"2E96DC","2009","G","2008pullus"
"5529.2","tl37508","2010-03-01",10,10,"2E96DC","2010","G","2008pullus"
"5529.3","tl37508","2010-03-05",6,6,"2E96DC","2010","G","2008pullus"
"10693","tp28796","2009-08-29",3,3,"2E9702","2009","G","2009pullus"
"10693.1","tp28796","2009-09-03",31,34,"2E9702","2009","G","2009pullus"
"10693.2","tp28796","2009-09-04",33,35,"2E9702","2009","G","2009pullus"
"10693.3","tp28796","2009-09-05",20,25,"2E9702","2009","G","2009pullus"
"10693.4","tp28796","2009-09-06",4,4,"2E9702","2009","G","2009pullus"
"10693.5","tp28796","2009-10-24",3,3,"2E9702","2009","G","2009pullus"
"5131","tl36478","2008-08-28",3,4,"2E972C","2008","G","2008pullus"
"5131.1","tl36478","2008-08-29",46,54,"2E972C","2008","G","2008pullus"
"5131.2","tl36478","2008-08-30",13,18,"2E972C","2008","G","2008pullus"
"5131.3","tl36478","2008-09-02",15,17,"2E972C","2008","G","2008pullus"
"5131.4","tl36478","2008-09-10",34,39,"2E972C","2008","G","2008pullus"
"5131.5","tl36478","2008-09-13",1,2,"2E972C","2008","G","2008pullus"
"5131.6","tl36478","2008-09-23",24,27,"2E972C","2008","G","2008pullus"
